sample_ID,ASV Table,Site,Group-Analyses,WaterType,Region,Region2,Habitat,Location,Description,Partner,year_month_day,year,month,day,lat,long,Event_ID,Treatment,Field_Blank,Extraction_Blank,PCR_Blank,Date.of.extraction,PCR_Plate,MiSeq.Run
ICOE1223,ICOE1223,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2021_3_12,2021,3,12,51.65,-127.9518,CalvertKC10_2021_3_12,Sample,ICOE1221,ICOXN074,NEG_PLATE10,2021-06-18,10,12S_ICO_plates8_9_10_Run20210916
ICOE1224,ICOE1224,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2021_3_12,2021,3,12,51.65,-127.9518,CalvertKC10_2021_3_12,Sample,ICOE1221,ICOXN074,NEG_PLATE10,2021-06-18,10,12S_ICO_plates8_9_10_Run20210916
ICOE1290,ICOE1290,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2021_4_8,2021,4,8,51.65,-127.9518,CalvertKC10_2021_4_8,Sample,ICOE1289,ICOXN077,NEG_PLATE10,2021-07-08,10,12S_ICO_plates8_9_10_Run20210916
ICOE1291,ICOE1291,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2021_4_8,2021,4,8,51.65,-127.9518,CalvertKC10_2021_4_8,Sample,ICOE1289,ICOXN077,NEG_PLATE10,2021-07-08,10,12S_ICO_plates8_9_10_Run20210916
ICOE1292,ICOE1292,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2021_4_8,2021,4,8,51.65,-127.9518,CalvertKC10_2021_4_8,Sample,ICOE1289,ICOXN078,NEG_PLATE10,2021-07-09,10,12S_ICO_plates8_9_10_Run20210916
ICOE1346,ICOE1346,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2021_5_7,2021,5,7,51.65,-127.9518,CalvertKC10_2021_5_7,Sample,ICOE1345,ICOXN083,PCR_NEG3_11_12_13,2021-07-30,12,12S_ICO_Plates11_12_13_blks_Run20220408
ICOE1347,ICOE1347,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2021_5_7,2021,5,7,51.65,-127.9518,CalvertKC10_2021_5_7,Sample,ICOE1345,ICOXN083,PCR_NEG3_11_12_13,2021-07-30,12,12S_ICO_Plates11_12_13_blks_Run20220408
ICOE1348,ICOE1348,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2021_5_7,2021,5,7,51.65,-127.9518,CalvertKC10_2021_5_7,Sample,ICOE1345,ICOXN084,PCR_NEG3_11_12_13,2021-08-06,12,12S_ICO_Plates11_12_13_blks_Run20220408
ICOE1410,ICOE1410,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2021_6_4,2021,6,4,51.65,-127.9518,CalvertKC10_2021_6_4,Sample,ICOE1409,ICOXN086,PCR_NEG3_11_12_13,2021-08-13,12,12S_ICO_Plates11_12_13_blks_Run20220408
ICOE1411,ICOE1411,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2021_6_4,2021,6,4,51.65,-127.9518,CalvertKC10_2021_6_4,Sample,ICOE1409,ICOXN086,PCR_NEG3_11_12_13,2021-08-13,12,12S_ICO_Plates11_12_13_blks_Run20220408
